ref,title,denomination,address,commune,insee,departement,region,century,protection,latitude,longitude,coord_source,coord_score,coord_label,coord_check,notice_url
IA00037774,Hôpital,hôpital,44 rue Saint Augustin,Bitche,57089,57,Grand Est,4e quart 18e siècle,,49.054824,7.430167,ban,0.963,44 Rue Saint-augustin 57230 Bitche,ok,https://pop.culture.gouv.fr/notice/merimee/IA00037774
IA00038769,collège des Doctrinaires,collège,148 rue Nationale,Lectoure,32208,32,Occitanie,3e quart 18e siècle; 1er quart 20e siècle,,43.93550817479972,0.6175304599165152,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00038769
IA00038777,château des Comtes d' Armagnac,château,Cours d'Armagnac,Lectoure,32208,32,Occitanie,14e siècle,,43.93587932409526,0.6155588122754355,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00038777
IA00038955,hôpital dit Hôpital du Saint-Esprit,hôpital,10 rue de l'Hospice,Beaumont-de-Lomagne,82013,82,Occitanie,1ère moitié 19e siècle,,43.884,1.0145,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00038955
IA00039609,hôpital,hôpital,rue du Millial,Lauzerte,82094,82,Occitanie,13e siècle (détruit); 17e siècle (?),,44.255476,1.135892,ban,0.953,Rue du Millial 82110 Lauzerte,ok,https://pop.culture.gouv.fr/notice/merimee/IA00039609
IA00039848,hospice Notre-Dame-d'Alem,hospice,37 rue de la Fraternité,Castelsarrasin,82033,82,Occitanie,18e siècle (?),,44.041607,1.105264,ban,0.965,37 Rue de la Fraternité 82100 Castelsarrasin,ok,https://pop.culture.gouv.fr/notice/merimee/IA00039848
IA00039854,"hôtel, édifice hospitalier",hôtel; édifice hospitalier,"1, 3 avenue du maréchal Juin",Castelsarrasin,82033,82,Occitanie,4e quart 18e siècle; milieu 19e siècle; 4e quart 19e siècle,,44.036214,1.11232,ban,0.891,3 Avenue du Maréchal Juin 82100 Castelsarrasin,ok,https://pop.culture.gouv.fr/notice/merimee/IA00039854
IA00039897,château,château,,Castelsarrasin,82033,82,Occitanie,limite 18e siècle 19e siècle,,44.0536,1.1211,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00039897
IA00040064,hôpital,hôpital,16 boulevard Camille Delthil,Moissac,82112,82,Occitanie,18e siècle,,44.105032,1.088006,ban,0.966,16 Boulevard Camille Delthil 82200 Moissac,ok,https://pop.culture.gouv.fr/notice/merimee/IA00040064
IA00040131,château,château,,Moissac,82112,82,Occitanie,2e moitié 15e siècle (?); 1ère moitié 16e siècle (?),,44.1219,1.1002,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00040131
IA00040424,"Hôpital, puis hôpital militaire, actuellement secrétariat général de la préfecture",hôpital,rue de la Victoire,Saint-Denis,97411,974,Réunion,1ère moitié 19e siècle,,-21.86878370605923,56.51112914372803,pop,,,far_from_commune_151km,https://pop.culture.gouv.fr/notice/merimee/IA00040424
IA00040488,Hôpital,hôpital,rue Gilbert des Molières,Saint-Denis,97411,974,Réunion,1er quart 20e siècle,,-21.878367256095355,56.509162691782365,pop,,,far_from_commune_152km,https://pop.culture.gouv.fr/notice/merimee/IA00040488
IA00040557,Hôpital,hôpital,rue de l'Hôpital,Saint-Paul,97415,974,Réunion,1er quart 20e siècle,,-22.00684455292564,56.32885787452492,pop,,,far_from_commune_149km,https://pop.culture.gouv.fr/notice/merimee/IA00040557
IA00041310,Hôpital,hôpital,,Barbezieux-Saint-Hilaire,16028,16,Nouvelle-Aquitaine,,,45.4811,-0.1554,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00041310
IA00041311,"Hôpital, Hospice",hôpital; hospice,R.D. 124,Barbezieux-Saint-Hilaire,16028,16,Nouvelle-Aquitaine,1er quart 20e siècle,,45.4811,-0.1554,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00041311
IA00041317,Château,château,,Barbezieux-Saint-Hilaire,16028,16,Nouvelle-Aquitaine,10e siècle (?); milieu 15e siècle,,45.4811,-0.1554,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00041317
IA00042728,Hôtel,hôtel,12 rue de l'Hôpital,Jarnac,16167,16,Nouvelle-Aquitaine,4e quart 19e siècle (?); 1er quart 20e siècle,,45.684237,-0.186003,ban,0.504,12 Rue de Lautertal 16200 Jarnac,ok,https://pop.culture.gouv.fr/notice/merimee/IA00042728
IA00043216,"Hôpital Saint-Julien, Saint-Honoré",hôpital,rue de l'Hôpital,Saint-Martin-de-Ré,17369,17,Nouvelle-Aquitaine,2e quart 15e siècle; 4e quart 17e siècle; 18e siècle,,46.20119,-1.365244,ban,0.958,Rue de l'Hopital 17410 Saint-Martin-de-Ré,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043216
IA00043217,Hôpital de la Marine ou Hôpital Neuf,hôpital,Cours Vauban,Saint-Martin-de-Ré,17369,17,Nouvelle-Aquitaine,4e quart 18e siècle,,46.203356,-1.362879,ban,0.952,Cours Vauban 17410 Saint-Martin-de-Ré,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043217
IA00043218,Hôpital Saint-Louis,hôpital,Cours Pasteur,Saint-Martin-de-Ré,17369,17,Nouvelle-Aquitaine,1er quart 18e siècle; limite 18e siècle 19e siècle,,46.205059,-1.371737,ban,0.957,Cours Pasteur 17410 Saint-Martin-de-Ré,ok,https://pop.culture.gouv.fr/notice/merimee/IA00043218
